"1QB Rank","SF/TE Prem","Player","Team","Position","Age","1QB Pos Rk","SF/TE Pr Pos Rk","Status","Notes"
"66","1","Patrick Mahomes","KC","QB","26.7","QB01","QB01","Veteran","Best QB in football. Things will be different perhaps without Tyreek Hill, but Mahomes will still ball."
"67","2","Josh Allen","BUF","QB","26.0","QB02","QB02","Veteran","One of the most pass-happy offenses in the league, and Allen continues to hold terrific rushing upside."
"68","3","Lamar Jackson","BAL","QB","25.4","QB03","QB03","Veteran","Struggled with injuries in 2021, but still has an elite rushing floor and offensive structure."
"69","4","Kyler Murray","ARI","QB","24.8","QB04","QB04","Veteran","Arizona has done nothing but add weapons since it became clear Kyler was unhappy."
"1","5","Ja'Marr Chase","CIN","WR","22.2","WR01","WR01","Veteran","Already one of the best WRs in the league, and tied to his college QB for the immediate future."
"2","6","Justin Jefferson","MIN","WR","23.3","WR02","WR02","Veteran","Dominant through first two NFL seasons, and Minnesota should see a bump in pass rate with a new coach."
"89","7","Joe Burrow","CIN","QB","25.4","QB05","QB05","Veteran","Exciting young QB surrounded by exceptional weapons."
"90","8","Justin Herbert","LAC","QB","24.2","QB06","QB06","Veteran","Would like to see some better weaponry long-term, but LAC isn't afraid to throw with Herbert."
"3","9","A.J. Brown","PHI","WR","24.9","WR03","WR03","Veteran","Trade to Philly doesn't change much in the short term, but could be a major win long-term if their QB situation improves."
"4","10","CeeDee Lamb","DAL","WR","23.1","WR04","WR04","Veteran","Departure of Amari Cooper could unlock Lamb's ceiling in 2022."
"91","11","Deshaun Watson","CLE","QB","26.7","QB07","QB07","Veteran","Expecting a suspension somewhere in 2022, but an elite fantasy QB when on the field."
"92","12","Trey Lance","SF","QB","22.0","QB08","QB08","Veteran","Should start in 2022, was productive for fantasy despite poor passing in limited action."
"93","13","Dak Prescott","DAL","QB","28.8","QB09","QB09","Veteran","Lack of rushing in 2021 is a concern. Dak is far less enticing as a pure pocket passer."
"28","14","Kyle Pitts","ATL","TE","21.6","TE01","TE01","Veteran","Best rookie TE season in at least 60 years, don't worry about the lack of TDs."
"94","15","Russell Wilson","DEN","QB","33.5","QB10","QB10","Veteran","Unclear exactly what kind of offense we will get in Denver, but Russ should get his best chance to cook."
"5","16","Tee Higgins","CIN","WR","23.3","WR05","WR05","Veteran","More of a 1B to Chase than a 2. This is the best young offense in the NFL for dynasty."
"126","17","Trevor Lawrence","JAC","QB","22.6","QB11","QB11","Veteran","Chalking up a lot of his 2021 failures to the dysfunction surounding Urban Meyer."
"6","18","DK Metcalf","SEA","WR","24.4","WR06","WR06","Veteran","Showed us in his 2021 games with Geno Smith that he can produce with any QB. Buy the talent."
"7","19","DJ Moore","CAR","WR","25.1","WR07","WR07","Veteran","Over 1,200 scrimmage yards each of the past three seasons despite horrendous QB play. Still just 25."
"8","20","Jonathan Taylor","IND","RB","23.3","RB01","RB01","Veteran","The Colts' identity on offense is founded in running the football, and Taylor is still in his prime."
"9","21","Jaylen Waddle","MIA","WR","23.5","WR08","WR08","Veteran","Over 100 catches as a rookie. Still expected to thrive despite added target competition from Tyreek Hill."
"10","22","Deebo Samuel","SF","WR","26.3","WR09","WR09","Veteran","Somewhat unclear future and role, but Samuel is talented enough to be an elite WR no matter what."
"11","23","Drake London","ATL","WR","20.8","WR10","WR10","Rookie","Three year prospect with a breakout. Atlanta's offense should run directly through London and Kyle Pitts."
"12","24","Treylon Burks","TEN","WR","22.2","WR11","WR11","Rookie","Most frequently comped to AJ Brown in the predraft process. Now he gets to replace him in Tennessee."
"37","25","Mark Andrews","BAL","TE","26.7","TE02","TE02","Veteran","Target volume should be more consistent with Hollywood gone -- turns 27 this season."
"13","26","Cooper Kupp","LAR","WR","28.9","WR12","WR12","Veteran","Had one of the best WR seasons ever in 2021, but will be 29 by the time pre-season starts."
"14","27","Davante Adams","LV","WR","29.4","WR13","WR13","Veteran","Should continue to get fed while playing with his old college QB. Turns 30 late this season."
"15","28","Stefon Diggs","BUF","WR","28.5","WR14","WR14","Veteran","Took a step back in 2021, but tied to one of the best young QBs and pass-friendly offenses for at least three more seasons."
